지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
131,1995-01-01,-3.7,-9.6,756,3.1,1526,,,,,,,4.3,340,1510,3.5,340,1439,1.2,1059,-11.5,29,1455,61.3,2.6,1024.8,1034.1,1029,1031.3,1621,1032.6,9.7,7.8,1200,1.97,11.58,,,,,,0,0,-.7,-14.9,,,,,,,,,,,,,
131,1995-01-02,-2.5,-9,745,6.1,1536,,,,,,,2.2,200,1502,1.8,320,1730,.7,569,-7.8,36,1557,70.5,3.4,1023.7,1034.1,310,1027.7,2400,1031.5,9.7,7.4,1200,1.94,10.91,,,,,,1.3,1.3,.1,-13.6,,,,,,,,,,,,.2,
131,1995-01-03,-.3,-2.4,110,1.6,1204,13.17,,,,,2,3.2,20,1352,2.7,70,1415,.6,507,-2.3,77,423,85.5,5.2,1014.6,1027.7,0,1017.9,2400,1022.2,9.7,0,1100,.27,1.23,.6,1825,.6,1825,1.3,9,4.6,.1,-11.9,,,,,,,,,,,,1.8,
131,1995-01-04,.6,-1.2,2400,2.8,1520,3.67,,,,,.2,9.2,320,1655,5,290,1549,2.1,1793,-4.6,37,1622,70.5,4.5,1009.1,1017.9,0,1015,1400,1016.7,9.7,2.3,1400,.72,4.16,.3,912,.6,900,.4,7.8,4.1,.4,-4.1,,,,,,,,,,,,.2,
131,1995-01-05,-1.6,-4.4,820,2.3,1507,4.5,,,,,1.1,8.1,290,1615,4,320,1640,2,1689,-6.2,39,1645,72.8,3.9,1009.1,1019.3,2400,1014.4,1423,1016.6,9.7,3.1,1000,.87,5.44,1.3,1140,1.3,1140,1.9,5.3,3.4,-.3,-10.9,,,,,,,,,,,,1.1,
131,1995-01-06,-3.4,-8.6,640,2.8,1547,,,,,,,6,320,1239,3.8,320,1515,1.6,1370,-11.9,28,1432,55,2.5,1015.5,1025,1107,1019.3,0,1023.2,9.8,8.1,1200,1.94,11.74,,,.4,0,,0,0,-.3,-14.6,,,,,,,,,,,,,
131,1995-01-07,1.6,-5.6,503,11,1520,,,,,,,5,230,1610,4.3,230,1609,1.3,1136,-2.7,56,1440,75,5.3,1015.3,1023.7,0,1021.7,1445,1022.9,9.8,6.7,1200,1.62,8.54,,,,,,1,1.3,.8,-9.1,,,,,,,,,,,,,
131,1995-01-08,5.3,.8,232,12.3,1550,,,,,,,6.5,200,1408,4.7,250,1420,1.3,1107,.1,38,1543,72.5,6.2,1012.2,1023,0,1015.7,2400,1019.6,9.8,5.2,1300,1.37,6.98,,,,,,6,5.8,3.1,-4.3,,,,,,,,,,,,,
131,1995-01-09,2.2,-4.2,2400,5.7,0,4.25,,,,,0,11.7,290,1150,6.7,320,1155,3.3,2838,-4.7,32,1327,61.8,4.7,1011.1,1025.4,2337,1014.4,443,1018.7,9.8,4,1100,1.68,6.15,,,,,,3,3.9,.5,-8.6,,,,,,,,,,,,0,
131,1995-01-10,-3.7,-7.2,750,.2,1302,,,,,,,11.5,340,1320,6.3,340,1359,3.1,2658,-14.3,32,1050,44,2,1018.1,1027.8,1030,1023.7,1440,1025.9,9.8,7.4,1200,1.98,10.64,,,,,,1.3,1.5,-1.2,-12.7,,,,,,,,,,,,,
131,1995-01-11,-4.3,-10.1,808,1.6,1524,,,,,,,6.1,340,1405,5,230,1800,1.8,1547,-12,32,1220,56.8,2.5,1018,1028.1,318,1022.8,1650,1025.8,9.8,7.2,1100,1.7,9.37,,,,,,2.3,2.1,-1.4,-15.1,,,,,,,,,,,,0,
131,1995-01-12,-2.7,-8,628,3.7,1648,2.17,,,,,.2,11,340,2343,5.2,320,2340,1.3,1088,-7.3,46,1640,71.5,3.6,1013.4,1025.4,227,1017.3,1656,1021.1,9.9,3.7,1300,1.5,6.77,.5,2125,.5,2125,.5,3.5,4.4,-.7,-12.8,,,,,,,,,,,,.2,
131,1995-01-13,-4.1,-7.4,805,-.4,1420,1.5,,,,,0,11,340,1602,6.3,340,1509,2.9,2478,-14.5,30,1420,44.8,2,1014.7,1025.1,2400,1019.7,0,1022.4,9.9,7.6,1200,2.13,11.5,,,.3,0,,4,3,-1.4,-14.7,,,,,,,,,,,,0,
131,1995-01-14,-5.8,-10,726,-1,1549,,,,,,,11.5,340,1223,5.7,340,1040,2.2,1860,-14.4,27,1236,52,2,1019.2,1029.1,2326,1025,53,1027,9.9,8.1,1200,2.29,12.7,,,,,,1,.9,-1.9,-15.3,,,,,,,,,,,,,
131,1995-01-15,-4.1,-10.4,750,4.3,1506,,,,,,,5.9,290,1358,3.2,320,1430,1.2,1012,-12.3,21,1535,60.5,2.4,1020.7,1030.4,950,1026.6,1458,1028.5,9.9,7.9,1200,2.25,12.77,,,,,,3.8,3.4,-1.3,-15.4,,,,,,,,,,,,,
131,1995-01-16,-.3,-4.3,850,4.6,1415,,,,,,,7.1,320,1255,5.3,340,1458,1.6,1370,-7.1,42,1346,62.8,3.6,1018.7,1027.9,2400,1025,1450,1026.3,9.9,5.8,1100,1.79,8.92,,,,,,3.5,2.4,-.1,-9.3,,,,,,,,,,,,,
131,1995-01-17,-2.5,-8.4,807,5.1,1536,,,,,,,4.9,290,1348,3.2,320,1400,1.4,1203,-12.1,22,1711,57.8,2.5,1021,1030.5,1120,1027.6,1615,1028.8,10,7.9,1200,2.09,11.96,,,,,,1.8,.9,-.9,-13.7,,,,,,,,,,,,,
131,1995-01-18,-2.3,-6.9,425,4.9,1305,.67,,,,,0,8,250,1227,6.7,250,1325,2.4,2063,-7.8,48,0,66.8,3.6,1018,1028.9,25,1023.2,1332,1025.7,10,3.2,1100,1.19,5.82,,,,,,3.3,3.6,-1.6,-12.1,,,,,,,,,,,,0,
131,1995-01-19,-4.1,-9.6,820,2.6,1540,,,,,,,7.1,340,1645,4.7,340,1651,1.7,1429,-13.6,25,1640,51.5,2.2,1018.8,1029.4,930,1023.4,1710,1026.6,10,7.6,1200,1.98,10.96,,,,,,3.5,.5,-1.7,-14.9,,,,,,,,,,,,,
131,1995-01-20,-1.9,-7.7,504,6,1531,,,,,,,2.6,200,1604,2.5,70,1820,1,893,-8.4,38,1532,63.3,3.3,1016.8,1026.1,1050,1023.4,1458,1024.5,10,6.4,1300,1.9,10.26,,,,,,2.3,2.3,-.4,-13.3,,,,,,,,,,,,,
131,1995-01-21,-.7,-5.9,518,4.8,1611,,,,,,,4.2,50,1918,3.3,50,1905,1.4,1202,-5.8,48,1632,70.3,4,1015.3,1025.9,429,1017.6,2400,1022.9,10.1,0,1100,.62,3.74,,,,,,7,3.6,-.4,-10.7,,,,,,,,,,,,14.8,
131,1995-01-22,1.6,.4,330,2.8,1454,15.25,,,,,16.2,6.7,50,314,4.7,50,319,2.1,1840,.1,56,0,89,6.2,1007.8,1018.2,2250,1012.9,517,1015.3,10.1,0,1000,.22,1.1,.2,118,.2,118,.2,10,4.8,.7,-.3,,,,,,,,,,,,1.4,
131,1995-01-23,1.4,-1.3,2340,5.4,1408,,,,,,,11.2,340,1504,5.7,320,1530,2.5,2174,-7.1,29,1524,56.8,3.8,1013.6,1026,2400,1017.6,28,1021.2,10.1,8,1300,2.24,12.44,,,,,,5,4.4,1.8,-5.9,,,,,,,,,,,,,
