지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
131,1973-01-01,1.5,-1.7,314,5.8,1444,,,,,,,9.1,340,2207,7,340,2210,1.8,1558,-2.4,51,2400,76.8,5.2,1011.3,1024.2,0,1015.5,1635,1018.8,9.7,0,,,3.37,,,,,,6.5,-999,1.1,-5.7,.8,1.5,2.3,2.4,3.3,6,8.5,13.4,15.8,,.6,.3,
131,1973-01-02,-5.6,-11.2,2356,2.2,0,8.25,,,,,.6,13.9,320,1611,11,320,1620,3.9,3352,-10.6,39,1109,68.3,2.9,1011,1023.5,2400,1016.1,6,1018.7,9.7,3.8,,,5.94,1.8,2135,1.8,2135,3.3,5.5,-999,.3,-12,.5,1.4,2.3,2.5,3.5,6.2,.8,13.5,15.8,,1.1,.3,
131,1973-01-03,-7.8,-14.7,730,-2,1908,1.17,,,,,.1,3.2,360,1312,2.5,360,1320,.8,703,-11.1,60,1545,78.8,2.8,1017.1,1027.7,2400,1023.5,0,1024.9,9.7,5.5,,,5.32,.5,2035,1.8,0,.6,3.5,-999,-.2,-17.9,.3,1.1,2,2.3,3.1,6.1,8.4,13.5,15.8,,.3,.7,
131,1973-01-04,-2.1,-7.2,616,2.1,1454,2.25,,,,,.6,3.6,50,1559,2.7,360,1540,.8,653,-5.5,53,1555,80.5,4.1,1025.4,1036.5,2123,1027.7,0,1033.2,9.7,4.1,,,6.34,1.3,230,1.7,230,1.3,7.5,-999,.1,-8.1,.1,1,1.8,2.1,3.2,6,8.3,13.4,15.8,,.5,,
131,1973-01-05,-1.4,-5.3,820,3.9,1457,,,,,,,9.5,320,1452,7.7,320,1500,1.1,928,-4.8,50,1456,79.5,4.3,1029.1,1038.6,1100,1034.4,1500,1036.9,9.7,5.8,,,6.12,,,,,,3.3,-999,.1,-9.9,.2,1,1.8,2.1,2.5,5.9,8.3,13.3,15.7,,.9,,
131,1973-01-06,-.3,-4.7,545,4,2030,4.08,,,,,10.1,10.2,50,2138,7.7,50,2130,2.7,2344,-3.3,60,1929,81.3,4.9,1025.4,1037.3,308,1024.3,2400,1033.1,9.7,0,,,2.94,5.5,2400,5.5,2400,,10,-999,-.3,-9.5,.2,.9,1.8,2,2.7,5.8,8.3,13.2,15.7,,.8,22.4,
131,1973-01-07,.6,0,230,1.6,1440,24,,,,,13.6,9.8,50,2,5.3,50,30,2.6,2241,-.3,87,47,92.8,6,1011.9,1024.3,0,1016.6,1400,1019.5,9.7,0,,,1.5,7,848,12.5,848,14.3,10,-999,.3,0,.3,1,1.8,2,2.7,5.7,8.1,13,15.7,,.4,2.6,
131,1973-01-08,1,-.4,2354,3.9,1307,1.7,,,,,1.3,6.1,320,1438,5,320,1420,1.3,1140,-2.1,59,1436,81,5.3,1014.9,1023.5,2100,1021,0,1022.5,9.7,2,,,5.51,1.1,142,11.2,142,1.4,9.5,-999,.3,-2.4,.5,1.2,1.8,2,2.6,5.6,8,12.9,15.7,,.7,,
131,1973-01-09,1.2,-.7,206,5.2,1307,,,,,,,4,250,1425,3.5,250,1410,1.4,1201,-2.6,53,1401,77,5.1,1014.9,1023.5,1004,1020.9,1420,1022.5,9.8,1,,,5.2,,,9.1,0,,7.3,-999,1,-4.2,.7,1.3,1.8,2,2.9,5.4,7.9,12.9,15.7,,.8,,
131,1973-01-10,-1.5,-6.4,2351,1.1,1206,,,,,,,13.2,360,1216,10,360,1240,2.7,2299,-6.4,47,1331,69.3,3.9,1017.9,1029.7,2350,1022.5,16,1025.6,9.8,8,,,8.22,,,6.7,0,,.5,-999,.2,-10.6,.6,1.3,1.9,2,3.2,5.5,7.9,12.9,15.6,,1.5,,
131,1973-01-11,-6.1,-10.7,759,0,1510,,,,,,,7.3,70,1638,4.7,70,1240,1,898,-9.7,52,1518,76.5,3,1023.5,1033.2,1010,1029.5,10,1031.4,9.8,7,,,6.14,,,6.2,0,,0,-999,-.8,-14,.1,.9,1.7,2,3,5.6,7.9,12.8,15.6,,1.1,,
131,1973-01-12,-5,-10.7,805,2.4,1520,,,,,,,3,90,1408,2.5,90,1410,.7,644,-8.6,52,1350,78.8,3.2,1023.5,1033.5,929,1029.1,1535,1031.4,9.8,7,,,7.39,,,5.1,0,,1.8,-999,-1.2,-13,-.4,.6,1.6,1.7,2.6,5.5,7.7,12.8,15.5,,.9,,
131,1973-01-13,-4.1,-8.1,342,1.1,1617,,,,,,,4.1,360,1516,3.8,70,1620,.8,725,-7.3,53,1504,80.3,3.6,1020.5,1030.3,0,1026.5,1600,1028.2,9.8,2,,,5.58,,,3.8,0,,4.8,-999,-1,-12.2,-.5,.4,1.4,1.7,2.4,5.3,7.5,12.7,15.5,,.8,,
131,1973-01-14,-4,-9.2,721,2.2,1603,,,,,,,5.4,70,1513,4.2,70,1510,1,837,-7.2,52,1537,80.8,3.6,1017.8,1027.8,934,1023.2,1820,1025.6,9.8,6.3,,,6.42,,,3.5,0,,3.3,-999,-3.6,-12.4,-.3,.4,1.4,1.6,2.3,5.3,7.5,12.6,15.5,,.9,,
131,1973-01-15,-1.5,-5.9,822,4.8,1504,,,,,,,5.7,50,1458,4.2,50,1500,1.4,1206,-4.7,57,1418,79.5,4.3,1015.3,1024.1,1132,1021,1535,1023,9.9,7.1,,,8.05,,,3.2,0,,.8,-999,-.2,-9.3,-.3,.5,1.3,1.5,2.2,5.2,7.5,12.5,15.4,,1.4,,
131,1973-01-16,-.6,-4.6,244,3.6,1604,9.03,,,,,.7,5.1,70,2108,4.7,70,2110,1,892,-2.9,68,1442,84.8,5,1015.7,1024.5,1027,1021.9,1405,1023.3,9.9,2.7,,,3.29,,,2.7,0,,7,-999,-.3,-8.3,-.4,.4,1.3,1.5,2.2,5,7.4,12.4,15.4,,.2,.7,
131,1973-01-17,2.3,1.5,142,3.4,1454,9.75,,,,,1.8,4.1,70,310,3.5,70,320,1.5,1295,1.1,87,47,91.3,6.6,1010.2,1022.7,0,1014.7,1808,1017.7,9.9,0,,,.63,,,1.8,0,,10,-999,.6,.5,0,.5,1.3,1.4,2.2,5,7.3,12.3,15.4,,.4,2.1,7.33
