지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
131,1986-01-01,-6.5,-9.5,805,-2.1,1238,2.8,,,,,.1,12.2,270,1314,8,320,1410,1.8,1594,-11.5,42,1535,68.3,2.6,1015.5,1027.1,2400,1020.1,1245,1023.2,9.7,5.3,1100,1.68,8.12,.4,1255,1.1,0,.5,2.8,2.1,-.6,-12.2,0,.1,.3,.9,2.2,5.5,8.4,14.4,16.7,,.6,.1,
131,1986-01-02,-8.4,-13.7,810,-2.4,1543,,,,,,,6.7,320,18,4,320,20,1.1,970,-16.6,31,1208,54.5,1.7,1023,1032.6,1023,1027.1,0,1030.9,9.7,8.6,1100,1.76,10.13,,,,,,0,0,-3.3,-16.6,-2.1,-1.3,.5,.9,2.2,5.5,8.3,14.2,16.7,,.8,,
131,1986-01-03,-3.8,-10,204,.9,1603,8.55,,,,,8.2,7,230,2400,5,230,2400,1.1,962,-6.3,68,932,83.8,4.1,1013.9,1030.3,0,1015.8,1550,1021.6,9.7,0,1100,.35,1.24,6.4,1834,6.4,1834,7.7,9.8,5.8,-1.8,-13.1,-1.5,-1,.3,.9,2.5,5.5,8.1,14.1,16.4,,.2,9.1,
131,1986-01-04,-7.8,-13.1,2400,.3,0,12.98,,,,,1.2,11.6,270,523,6.3,270,530,3.1,2670,-12.1,53,1557,71.5,2.4,1013.2,1023.3,810,1016.7,0,1021.1,9.7,4.5,1300,1.42,8.62,3.4,1120,8.6,1120,5.5,6.5,6.8,-.2,-15.5,-.2,0,.3,.9,2.1,5.5,8.1,14.1,16.4,,1,.3,
131,1986-01-05,-13.8,-16.5,430,-10.1,1504,3.08,,,,,0,7.5,320,1311,4.3,320,1325,1.2,1041,-18.3,52,1447,70.3,1.5,1014.7,1024,1023,1021.6,450,1022.7,9.7,7.9,1100,1.84,9.97,.2,650,8.2,650,.2,4,4.4,-1,-19.1,-.6,-.2,.3,.9,2.3,5.4,8.1,13.9,16.3,,.9,,
131,1986-01-06,-11.3,-17.6,420,-3.8,1450,1.13,,,,,0,2,320,1125,1.7,320,1050,.6,494,-15.9,45,1504,70.8,1.8,1015.9,1026.1,1008,1021.6,2400,1023.8,9.8,7.8,1100,1.98,10.61,.2,2400,7.8,0,.2,1.3,3.4,-1.4,-25.3,-.9,-.5,.3,.8,1.7,5.3,8.1,13.9,16.3,,.8,0,
131,1986-01-07,-4.1,-8,100,-.6,1600,16.25,,,,,5,8.1,320,2332,4.2,320,2350,.8,703,-5.8,81,140,87.8,4.1,1010.6,1021.6,0,1016,1640,1018.3,9.8,0,1000,.36,1.73,11.3,2400,17.5,2400,12.2,10,6.3,-.3,-8.3,-.5,-.2,.4,.9,1.9,5.3,8.1,13.9,16.4,,.2,5,
131,1986-01-08,-6.8,-11.7,815,-1.6,0,4.63,,,,,.4,9.5,320,46,4.7,320,100,2,1751,-12,42,1200,66.8,2.5,1016.6,1027.8,2400,1018.6,0,1024.4,9.8,7.7,1100,1.79,9.5,1.7,2200,17.5,0,1.7,6,2.8,-.1,-19.6,-.3,0,.3,.9,2,5,7.7,13.6,16.4,,.5,.4,
131,1986-01-09,-11.1,-18,729,-3.1,1452,1.63,,,,,0,4.1,250,1322,2.5,250,1340,.9,766,-15.3,47,1445,73.8,1.9,1022,1031.8,2400,1027.8,0,1030,9.8,6.2,1200,1.86,9.48,0,,17,0,0,2,1.6,-.9,-22.6,-.5,-.3,.3,.8,1.9,5,7.7,13.6,16.4,,.6,0,
131,1986-01-10,-11,-16.9,520,-5.2,1511,.5,,,,,0,5.7,270,1350,3.3,290,1750,1.2,1063,-15.6,45,1452,72,1.8,1024.3,1033.7,1040,1031.3,1500,1032.4,9.8,8.2,1100,2.17,10.93,0,,13.7,0,,1.5,2.5,-1.3,-24.2,-1,-.6,.2,.8,1.9,5,7.6,13.6,16.4,,.9,0,
