지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
131,2017-01-01,3.4,-1.1,656,9.1,1421,,,,,,,3.2,250,1432,2,230,1434,.7,576,-.9,50,1421,74.1,5.7,1020.8,1031.4,1026,1024.9,2204,1028,9.7,5.9,1300,1.27,6.93,,,,,,6.1,5.3,2.2,-5.9,,,,,,,,,,.8,1.1,0,
131,2017-01-02,5.5,1.2,310,11.3,1534,.87,,,,,0,5.9,340,2019,2.6,340,2028,1.1,977,.5,53,1504,71.1,6.4,1015.8,1025.3,1,1020.4,1454,1022.9,9.7,3.5,1300,1.36,5.87,,,,,,7.3,7,4.8,-4.3,,,,,,,,,,1,1.4,,
131,2017-01-03,3.9,.6,725,8.7,1533,,,,,,,5.6,320,3,2.7,290,5,1.3,1133,-2.2,38,1534,66,5.2,1017.1,1026,832,1022.5,1625,1024.3,9.7,7.9,1200,1.58,8.79,,,,,,0,0,2.6,-6.5,,,,,,,,,,1.1,1.6,,
131,2017-01-04,4.6,.4,210,10.2,1512,,,,,,,4.9,340,1532,2.7,340,1922,1,856,-3.7,29,1523,57.6,4.7,1016.8,1025.6,1008,1022,1507,1024,9.8,5.9,1200,1.46,6.89,,,,,,5,3.9,2.6,-5.5,,,,,,,,,,1.2,1.7,,
131,2017-01-05,4.7,-.5,346,9.3,1449,,,,,,,7.8,110,1654,4.7,110,1751,2,1763,-3.1,48,1335,58,4.9,1019.6,1028.7,2231,1025.2,1,1026.7,9.8,0,1100,.79,4.52,,,,,,8.8,4.4,3.2,-3.5,,,,,,,,,,1.2,1.8,,
131,2017-01-06,6.6,2.8,746,11.3,1513,,,,,,,4.9,140,13,3,180,1221,1.2,1048,-2.1,37,1321,54.8,5.3,1019.3,1028.8,933,1024.3,1610,1026.4,9.8,7.8,1200,1.68,9.34,,,,,,3.6,2.8,4.5,-3.2,,,,,,,,,,1.5,2.1,,
131,2017-01-07,4.1,-1,741,9,1444,,,,,,,3.5,360,1410,2.2,340,1437,.9,753,-1.7,48,1311,67.1,5.4,1014.1,1024.8,1,1018,1804,1021.2,9.8,6.4,1200,1.64,7.74,,,,,,6,3.5,3.1,-6.8,,,,,,,,,,1,1.5,,
131,2017-01-08,7.4,3.1,836,12.8,1250,1.08,,,,,0,5.6,270,2104,2.9,320,1754,1.3,1096,-.3,40,1252,59,6,1006.9,1019.1,1,1010.9,1617,1013.9,9.8,5.7,1100,1.62,8.1,,,,,,7.6,6.3,6.4,-1.3,,,,,,,,,,1.5,2.1,0,
131,2017-01-09,3.6,0,2335,6.4,1521,3.47,,,,,0,7.7,270,1354,3.9,270,213,2.1,1812,-4.1,40,1508,57.4,4.6,1010.2,1020.6,2359,1013,11,1017.3,9.8,6.4,1300,1.57,7.22,,,,,,5,4.5,3.4,-5.2,,,,,,,,,,1.2,1.7,,
131,2017-01-10,-1.1,-3.5,2400,2.4,1240,,,,,,,7.5,320,1351,4.1,320,1957,2,1735,-9.1,37,1153,54.9,3.1,1016.7,1026.9,2355,1020.5,5,1024,9.8,6.9,1000,1.32,7.6,,,,,,3,3,-.3,-7,,,,,,,,,,1.2,1.6,,
